,0,1
0,8f8c0fa69271b89c2e0137723263c7f0,D11-3377-CD38-A1_S408_L004_R1_001.fastq
1,e1a5788464e9366d2d852a40374f62ad,D11-3377-CD38-A1_S408_L005_R1_001.fastq
